breach_type,data_exposed,records_affected,jurisdiction,user_impact_level,documents_available,proof_strength,past_case_similarity_score,legal_complexity_score,success_probability
tech,SSN,7027,EU,low,3,low,0.31030711579169745,0.9206281367107758,0.46149841478173625
retail,SSN,69228,EU,low,9,low,0.3991261004449661,0.09363289333362923,0.5137963142748414
healthcare,SSN,361750,Global,high,0,medium,0.2422571575847674,0.9550631871262365,0.7694505478276079
tech,full name,139981,Global,low,8,low,0.20348799455531252,0.6109263874834779,0.37500799712560984
tech,credit card,24816,EU,high,3,medium,0.9545538424175,0.001268076915490246,0.9301465819988385
retail,full name,6039,India,high,6,medium,0.9185216027705179,0.894007197916806,0.8380534988829029
healthcare,credit card,89004,EU,high,2,low,0.04699250100311747,0.5217118013669183,0.6104731346494557
healthcare,full name,48386,India,medium,9,high,0.33881302160484816,0.26266973533048454,0.6900316323879305
tech,full name,131977,India,medium,2,high,0.40514855367840663,0.7672791775156301,0.727502133238563
finance,password,78459,Global,low,7,high,0.23901453466594336,0.92666555388687,0.65574576039889
tech,full name,179711,India,high,7,medium,0.6288728969881755,0.4836908231467939,0.8446154690565967
tech,email,7551,EU,medium,0,medium,0.640380746644241,0.3155534744431109,0.5083393684958851
tech,password,307056,Global,medium,9,medium,0.8505042283285971,0.7889451239349268,0.7214786560547404
tech,full name,32702,US,medium,1,low,0.7408692683852178,0.6817854977884547,0.4137273187583713
retail,SSN,1397956,US,medium,7,medium,0.5425733269659556,0.8887524837502724,0.855585946868688
healthcare,email,5550,Global,medium,0,low,0.6535867700444199,0.692514012761193,0.35200903749565265
retail,email,709224,EU,high,7,low,0.2739887815430181,0.2435283388995363,0.6246331502236943
retail,email,32722,US,high,7,high,0.5930561899673576,0.931659249759019,0.9306588518103214
retail,password,5985,US,high,1,high,0.48922725474991924,0.10483574720599131,0.7538136843129066
tech,full name,8368,India,high,3,high,0.1333444673163704,0.26794275010684787,0.7555023073688335
finance,full name,11606,India,low,5,low,0.24254427658297073,0.5201946077238856,0.405301277149019
healthcare,SSN,51448,EU,high,8,low,0.29169345072158603,0.5657420260709014,0.7579658548500043
finance,SSN,62672,Global,medium,7,low,0.924309567052558,0.015310586626905431,0.8536752757550787
retail,email,6992,EU,high,7,medium,0.23038663938588944,0.78057272582094,0.847318094338978
retail,SSN,20979,Global,low,6,low,0.28924390281966816,0.3616073184253895,0.5970465400235474
finance,password,1598443,US,medium,8,high,0.3693541300894323,0.4064185410021378,0.6898563883170907
finance,full name,697380,India,high,1,high,0.663742738625387,0.8093695444369458,0.7766752308052879
finance,email,52714,EU,high,2,low,0.11823839247214052,0.37928339172754455,0.4549919851041113
retail,SSN,23765,EU,high,9,low,0.9539452124937761,0.04722487649475482,0.79646048467891
retail,password,28002,Global,medium,7,high,0.8655712200947645,0.1764397704703503,0.8184523194942356
healthcare,password,75134,Global,medium,5,low,0.5772160730089502,0.9559031723881823,0.4643298706044241
healthcare,SSN,2848,EU,low,9,high,0.6740378674249567,0.07040536240251416,0.892743941430471
retail,full name,13164,Global,medium,8,medium,0.01666047124421599,0.3549312009680162,0.7324657502525832
finance,SSN,782,EU,medium,9,high,0.3389447753484487,0.5031791670513446,0.975195917120184
finance,email,48944,EU,high,3,medium,0.795660230661442,0.49328082733856005,0.8576922851056236
healthcare,SSN,80369,EU,medium,7,low,0.07748297379238589,0.003959943012142753,0.5800676759004685
retail,password,8380,US,high,9,low,0.2823138342107202,0.5011627314574904,0.6029296481976167
healthcare,SSN,512970,Global,high,2,medium,0.5852968283343113,0.3837724579774092,0.7713784232163157
healthcare,full name,1897,India,medium,2,low,0.2564130276989418,0.9720793354745572,0.44710971848788716
tech,credit card,1177,India,low,7,medium,0.9339779741445192,0.15915908399382983,0.7823702795655251
tech,SSN,34506,Global,low,4,low,0.13105863080429037,0.354154196759495,0.4925816729042917
tech,full name,178831,EU,medium,2,high,0.7973943579077786,0.41948148508981975,0.7214237123894309
finance,full name,639125,India,low,9,low,0.5079486919064082,0.3906935371009488,0.3780554266638037
retail,password,8797,India,high,0,high,0.750330775819956,0.6658308276518625,0.6939656294217458
retail,full name,190491,Global,high,2,high,0.31071532831144744,0.21551285754776883,0.7909348305160404
retail,full name,20393,India,medium,8,medium,0.5144896023120388,0.22107155281399182,0.674044565205808
retail,full name,15595,EU,low,4,low,0.8568353497231763,0.7292109485008531,0.320001386518883
tech,full name,128968,Global,low,9,medium,0.4668780991231044,0.5002905186781796,0.5515746655280981
finance,email,81197,EU,high,1,low,0.3597198619102696,0.4151556760573104,0.45165858351076377
finance,email,941,India,medium,6,high,0.5361553862527361,0.1692030516772518,0.791953564619745
tech,password,422135,India,low,1,high,0.7173627530363669,0.1875272229121666,0.5481956098061107
finance,SSN,348078,EU,medium,3,low,0.44356334549850274,0.010551636815900545,0.5536454424527016
tech,full name,6303,US,low,6,low,0.938876975142273,0.09142626886170924,0.5208533694566508
retail,SSN,48611,India,high,3,medium,0.29494582404234204,0.556838694690241,0.8130415355761388
tech,SSN,59163,US,high,6,low,0.4754636061691204,0.8918731300084098,0.7880164287168082
retail,password,37099,India,medium,6,low,0.7569276593414415,0.28716476513055744,0.5276449670647226
retail,full name,7327,US,high,0,low,0.6891210904957582,0.32774722589612815,0.5443591222615864
healthcare,full name,5748,US,low,5,medium,0.8636410524171562,0.1156056106115122,0.5667825499813727
tech,credit card,20929,US,high,8,low,0.9968091806811089,0.38863094560710276,0.8534155613977739
healthcare,SSN,229913,EU,medium,1,high,0.42685832879508956,0.03722170456932916,0.8244358049858531
tech,SSN,65329,US,medium,2,medium,0.11115087978331184,0.9176006962619002,0.6851172010313292
tech,email,10496,US,medium,9,medium,0.030415880807967977,0.6731113481245287,0.665796072902671
healthcare,credit card,103094,US,low,4,high,0.7268769061397716,0.9907488093932189,0.6940049151441465
healthcare,email,73,India,low,8,high,0.8740136713087157,0.8828231626784937,0.7714331172155658
tech,email,219154,US,low,3,high,0.22071258594441867,0.47299059369815266,0.5648506056051164
finance,email,678,India,low,0,low,0.15844803718990597,0.5196850311503769,0.24292305887761814
retail,password,10669,US,low,3,high,0.06220509152569098,0.19057604651719384,0.5553811615710109
healthcare,password,2346,US,high,5,low,0.8227029217172064,0.4620393428395556,0.6043124143155771
retail,email,1653,EU,low,4,medium,0.31138193989258434,0.9030278734928117,0.5458535523167382
finance,credit card,224505,India,low,0,medium,0.4016968927597765,0.05085342363582113,0.5500760198399735
finance,SSN,8643,US,high,3,high,0.5027501916096123,0.8635568029983097,0.8758056946088157
finance,credit card,44046,India,low,5,low,0.8394532342095508,0.34094780164260974,0.6493711812382632
healthcare,full name,20053,India,medium,9,high,0.6508332215614849,0.8995127650963098,0.7435593439367749
finance,password,57186,Global,low,9,high,0.6150646298578113,0.9408799063414847,0.7565529246983083
healthcare,SSN,25684,EU,low,3,low,0.1756720999559107,0.6708648870019059,0.5319137985921014
finance,SSN,1692,EU,medium,8,high,0.5131898917098298,0.6644237865926779,0.89600421737282
retail,full name,161544,EU,medium,4,medium,0.7153810171786552,0.4527543377087401,0.6354000123809712
retail,full name,8204,Global,medium,7,high,0.9732608830304917,0.8355402245437075,0.8365286759963403
tech,email,979,Global,medium,8,low,0.20140630921335223,0.9616127584332832,0.5115920731622908
retail,password,9355,EU,low,9,low,0.009543353067226645,0.7750818003391192,0.4924662530683759
tech,password,443086,Global,medium,4,medium,0.07530143359846975,0.6219367337567092,0.522794199713991
retail,credit card,120625,Global,medium,5,low,0.37585246518197923,0.6067928958213368,0.6222568942742481
healthcare,email,10967,Global,high,0,low,0.8205446477459871,0.8494699015836623,0.5572205897156863
retail,email,10954,EU,medium,6,medium,0.0071420817682450455,0.5412037657712984,0.6145667667598672
tech,email,11576,EU,medium,3,high,0.4567305928858403,0.8038598862488227,0.6388840734952592
tech,email,1402120,EU,high,1,medium,0.32923061534139453,0.5088852551742458,0.626073795622627
finance,password,47281,Global,high,4,high,0.052481710099727574,0.06244427497392413,0.8155301980953236
healthcare,password,52056,EU,low,2,medium,0.4502362866726173,0.38394700890415523,0.43538158015984685
retail,email,172916,Global,high,5,high,0.25474870733671884,0.4444409576714987,0.8531932902740491
finance,credit card,35510,US,low,7,medium,0.35188483434700646,0.1416172449866172,0.6663577287309724
retail,SSN,13120,Global,high,6,high,0.705615304784293,0.10249632918921281,0.9845101763074995
retail,SSN,14872,India,high,2,medium,0.5215509839109671,0.5354649496569541,0.7901507843784653
finance,credit card,19087,EU,low,7,high,0.12464742899281334,0.08514363655608215,0.8419656138988678
finance,email,20446,EU,high,1,medium,0.961414540423639,0.30294516789008397,0.7142163530916184
finance,password,94396,India,low,9,low,0.6359107657097384,0.744596975963076,0.4044902741980707
finance,SSN,24437,Global,high,8,high,0.7658684256625315,0.9644321795679808,1.0
finance,full name,95347,US,medium,3,medium,0.07921315000837081,0.7178705805519285,0.5562466670225761
retail,full name,18742,India,high,0,high,0.047058379460018895,0.9926255484528702,0.610745603223436
finance,credit card,25777,India,low,7,high,0.01944805036808117,0.6983379712794027,0.7352353874356583
healthcare,email,404,Global,high,6,medium,0.18879402777344445,0.2937944706543275,0.7603705605225607
tech,SSN,137675,EU,low,4,high,0.41440839771849514,0.6720525405053619,0.8259190009801218
finance,email,44045,Global,low,9,medium,0.9358261334028228,0.7021567651969038,0.6453587348791802
finance,SSN,162108,India,medium,4,low,0.4570596592657763,0.3717269846164606,0.5689599234562659
retail,credit card,67,India,medium,6,high,0.2902551053725294,0.017713850609389015,0.8156243961832818
finance,credit card,1435106,EU,low,4,low,0.5619352535196633,0.703199784775487,0.6026680676963967
finance,full name,16660,EU,high,7,high,0.11193457813478924,0.02170009527554162,0.9132859883294671
finance,email,202069,EU,low,5,high,0.6095058910049832,0.6311880780600712,0.6760544315390784
retail,full name,2752,Global,low,4,high,0.5684319543305033,0.16361648874255508,0.7007428937963235
finance,email,75022,EU,high,8,medium,0.7919930334057097,0.5656035277480433,0.8403952583282507
tech,full name,2678,India,high,1,low,0.9866876116170241,0.5039130253806,0.5021169136308183
retail,password,6326,India,high,0,high,0.2508734717161105,0.013513642306182572,0.7028439594241216
tech,password,1012631,US,high,7,medium,0.5096564508037607,0.36286581699510345,0.7594793612669865
retail,password,15042,Global,low,2,high,0.9088654063190036,0.6010911673963028,0.5511041497392414
finance,password,34025,US,low,6,medium,0.7851898844228413,0.8486065518987798,0.6470993439226476
tech,SSN,125509,India,medium,9,high,0.48740630310080757,0.8886421138365173,0.9915285686882851
retail,password,59359,US,low,7,low,0.9453716496147778,0.4838499700332233,0.4308502509371073
healthcare,credit card,29757,India,high,5,low,0.05723669351680938,0.7284224872994381,0.6438837852295881
finance,credit card,45703,US,medium,9,high,0.930998619712584,0.31645457653345765,0.970847377289608
retail,SSN,2694790,EU,high,8,medium,0.05050739238280655,0.34218640575865744,0.8694854975792977
healthcare,password,19628,US,low,6,high,0.5473047441146843,0.19446351918231375,0.7085549125697368
retail,password,32931,EU,medium,9,medium,0.8904409480010858,0.5619481099932393,0.7414465866883881
healthcare,password,180107,EU,high,4,high,0.2627209435613028,0.3145641509273652,0.8545174072379607
finance,full name,200998,Global,medium,7,medium,0.4722484989451585,0.08437089643850504,0.7130877361562151
tech,email,236584,EU,medium,1,low,0.3243288791369666,0.6850060866631787,0.3302040464301128
healthcare,full name,79020,EU,low,6,high,0.9521439170763514,0.7077532076053982,0.6306579486133128
retail,email,2239,US,high,3,low,0.8236455947530908,0.35999241877905785,0.5813373586891679
finance,password,577730,India,medium,8,low,0.7090015113263796,0.0767233994560228,0.48538374562082404
healthcare,password,2224,Global,medium,0,high,0.5876269866151087,0.4262977174034259,0.5759149368154691
retail,full name,40346,EU,high,6,high,0.8205917893241481,0.44233545805021546,0.875972840027581
retail,full name,4872,Global,medium,5,medium,0.3922670415235471,0.668670884897893,0.6138053484081832
retail,email,19374,US,medium,7,medium,0.4475518551060619,0.3154163912586835,0.6289534725142635
healthcare,credit card,42511,EU,medium,4,low,0.7300017210808615,0.6825992797813054,0.6067363417025887
healthcare,email,41886,US,high,0,medium,0.35775476329371425,0.8714885417573883,0.6430707052519614
healthcare,full name,51217,Global,high,0,medium,0.06390094204837382,0.23748604236219983,0.613547518583584
tech,full name,555388,US,high,8,high,0.07433460888607146,0.9789195561198998,0.9340584496619059
healthcare,SSN,54560,Global,high,9,medium,0.11536280130570387,0.38636813713680696,0.9120436064177593
healthcare,full name,13516,US,low,5,low,0.8696813233436628,0.26725868514706175,0.4505290887792786
healthcare,SSN,151474,Global,medium,9,medium,0.4722264257562043,0.4215111825102905,0.9052532134603034
tech,credit card,237741,India,high,4,low,0.7128823693447365,0.09439747590385916,0.6677551890876178
healthcare,email,1890,US,medium,0,high,0.3929093356048933,0.12570590651211566,0.6295723588956744
retail,email,72751,US,medium,5,low,0.2587109474156345,0.4144340469683314,0.5409883309113463
healthcare,SSN,89531,India,low,5,medium,0.34719216756221194,0.7624445219391001,0.64027120045434
retail,email,12147,India,high,2,high,0.7941823453171836,0.9003122395744909,0.8585501918119013
retail,full name,345039,US,high,7,medium,0.6252161250314382,0.6648179907162709,0.915407416518223
retail,password,16315,India,medium,0,high,0.937639779957902,0.10521955523816973,0.6826563115213317
tech,SSN,28315,EU,high,0,high,0.679704778576834,0.672019762180535,0.8976956962906896
tech,email,15581,Global,medium,5,medium,0.5701816317546939,0.6354279207029719,0.6010293607190065
tech,SSN,22723,Global,medium,9,medium,0.6101960089858345,0.8057639182933313,0.9144797973506298
healthcare,SSN,2458,Global,low,0,high,0.9423714394684146,0.8252486666521809,0.6429576113149857
retail,password,1236,EU,low,5,high,0.7882009298667061,0.8682030757789789,0.6973071331186887
tech,full name,534458,India,low,0,medium,0.024041237366437818,0.41413151457909836,0.375958879103195
tech,SSN,4048,India,medium,5,low,0.5341396961356972,0.6978643953521443,0.48860131901444326
healthcare,email,3032,US,high,2,medium,0.6883384115465648,0.26825035892231075,0.6991240103314442
tech,credit card,296,India,low,7,high,0.748698478439155,0.9993362799835043,1.0
healthcare,SSN,6136,US,high,5,medium,0.21314211931393667,0.17533424137685993,0.7667213908178703
finance,SSN,1562,EU,low,0,low,0.8671773544513522,0.01011443166083581,0.4340231357444785
tech,password,587734,Global,low,4,medium,0.9558431471751637,0.148808714518176,0.4682285458807854
finance,full name,165981,Global,medium,7,high,0.23671530584486977,0.7758722895441267,0.7289644586442281
healthcare,credit card,5561,Global,low,2,medium,0.8826154575172458,0.4467836765082115,0.5517727030107095
retail,email,1992442,India,low,5,high,0.09697876251609538,0.4475002478104283,0.6176749926014704
tech,credit card,156926,US,medium,4,high,0.055706836115245184,0.9550229196116685,0.8652509237745044
healthcare,email,11502,US,high,5,medium,0.12922380010274936,0.9196349080280742,0.7334093116487296
retail,full name,148,EU,low,9,high,0.057741079467035994,0.3111947378040092,0.609264984473825
retail,email,2151950,India,medium,0,high,0.8450122371557759,0.20905812878086616,0.6040314858857813
finance,password,1367,EU,low,6,low,0.05905014445827195,0.8484822099337397,0.3995186487501092
healthcare,password,819,US,medium,8,low,0.2716641913636555,0.9060190710443632,0.4822202196294195
retail,password,170270,US,high,1,low,0.10375634353585639,0.5415969227984869,0.37393587892780356
tech,password,2897922,Global,high,9,low,0.29542203631376496,0.6294237111171005,0.6175858506262786
tech,credit card,351001,India,medium,4,high,0.09055946760092048,0.2569142846922934,0.7818205362964717
finance,full name,68037,US,medium,9,medium,0.668003250743014,0.8008026879785246,0.7373782209369837
retail,email,72367,Global,medium,3,high,0.13332681634257515,0.6321224284490231,0.7182675516501034
healthcare,email,121398,India,high,5,high,0.8518459258388879,0.5035135112979966,1.0
tech,password,100494,EU,low,5,high,0.817191050726641,0.060108556078395825,0.6986224506796466
retail,password,38653,India,high,1,medium,0.01366168547060942,0.9159349625111537,0.6136647766880379
retail,SSN,27130,India,medium,1,low,0.8957263555151146,0.615451420384406,0.5396067683868052
finance,full name,19434,US,medium,3,high,0.02894431674336706,0.19269109469296797,0.6160255929632594
tech,credit card,4875,US,high,0,high,0.23964578495755662,0.6063861169830528,0.8881673908228026
tech,email,12564,India,medium,8,low,0.03238913777599506,0.6774633542399734,0.48942252377026063
healthcare,SSN,745,US,high,6,high,0.335843487039316,0.5257703366832255,1.0
tech,SSN,18093,US,medium,6,medium,0.5138665257132716,0.7181017379560225,0.8925354360777439
healthcare,email,3049,US,low,2,high,0.7966448690151381,0.5814539479286243,0.5762331283071843
tech,credit card,2423,Global,low,2,high,0.33798155046983613,0.9477695820321482,0.7688191769313909
finance,SSN,31564,Global,medium,0,low,0.7054900246731167,0.053697078599306836,0.549200469269882
tech,SSN,356469,India,high,2,high,0.18750445711898034,0.1062457084695605,0.9015203542608088
healthcare,full name,138224,US,low,2,high,0.7505984567441264,0.17367163695433985,0.5526503883210455
healthcare,credit card,952,Global,high,3,medium,0.23599660590923754,0.6901710706043321,0.8390559603434291
finance,SSN,3043,India,medium,3,low,0.14354475594376792,0.6455958727498087,0.5329021782010644
tech,credit card,144573,US,high,2,low,0.1854088503740543,0.892058860209694,0.6520113278471908
tech,email,3087,EU,low,9,medium,0.18206312888185539,0.7328774528838984,0.5631150596001642
finance,password,14055,US,high,7,high,0.5128628793769912,0.5083554875645923,0.9496267664869051
tech,SSN,66178,US,high,7,low,0.8447975811881461,0.9918317924636303,0.8328911994789768
tech,full name,3175,Global,medium,0,low,0.07960507699250563,0.26610795616929916,0.40985338521108544
healthcare,email,27193,India,medium,6,high,0.7069563184934227,0.833191659785454,0.7869182829295559
tech,credit card,1528,India,medium,1,high,0.6543464596528576,0.42679037219391935,0.7687059078641104
tech,email,6616,Global,low,0,low,0.8725199518293624,0.6487351388757342,0.304557684522999
finance,SSN,41754,US,low,2,high,0.24414756050690722,0.727268470452434,0.7383083088420643
finance,credit card,910,EU,medium,3,low,0.4501098586850296,0.6337540871903363,0.6385159101098666
retail,password,53154,US,medium,5,high,0.9258273744435174,0.14050730310859327,0.8009218096644767
healthcare,email,21178,US,low,9,high,0.6599934501353172,0.44295101074793275,0.732953803053771
tech,SSN,66501,EU,low,4,medium,0.3887684128615969,0.5614383779331243,0.6759037441547808
tech,full name,34469,Global,low,3,high,0.13141238285526846,0.8490437591785968,0.4992475976041206
retail,credit card,337149,India,low,7,medium,0.26248500790059104,0.4436457487985723,0.7774521728783639
tech,email,28295,Global,medium,3,high,0.5812154774893833,0.9187473048042515,0.6352287261429049
healthcare,email,9331,Global,low,9,low,0.7181679475605137,0.4403742230252107,0.41801686096681184
retail,password,28130,US,medium,1,low,0.12442188685189348,0.5487798592630116,0.3451935429112627
healthcare,password,65290,India,high,2,high,0.599597260044054,0.796285682942801,0.7539667392971282
retail,full name,24287,India,high,5,high,0.550351278838751,0.5830676844221436,0.8948429978526476
retail,full name,23889,Global,low,7,low,0.513955446690708,0.9602180723828246,0.47376317830257986
finance,SSN,5410,EU,high,7,high,0.690123117682008,0.6603358305141276,1.0
healthcare,SSN,5850,Global,high,8,medium,0.8374495950834618,0.522709454067601,0.9274682597097438
tech,full name,1332,EU,high,6,medium,0.3229896831768684,0.023591967780795864,0.763626973560857
tech,full name,728799,India,low,1,medium,0.8890121901109594,0.41373289758032983,0.4662756455550251
healthcare,credit card,1830,Global,low,7,medium,0.1606336126185507,0.29924841926016044,0.7271726981069635
tech,password,5509,US,high,6,medium,0.17302386975116435,0.7481056678874892,0.7258004867037345
tech,SSN,5235,Global,medium,7,high,0.2667720636239239,0.20827767515354578,0.9528180832620696
healthcare,password,131906,India,high,2,high,0.11953086954707781,0.20522008729407182,0.7046250350693644
retail,password,12211,US,low,6,medium,0.23031922468287758,0.18951904323737678,0.5744875957247434
healthcare,full name,267128,US,low,9,high,0.1064117629028446,0.12561561315623593,0.7004435549945721
retail,credit card,5727,EU,low,8,high,0.8217524169853904,0.3110070036708874,0.8554454667659204
tech,email,38483,US,high,2,medium,0.1389689918866246,0.8859221144434251,0.5852889756795883
tech,credit card,4143,US,medium,9,high,0.7472975575598568,0.774928472305955,0.9985480635794528
tech,credit card,1607672,Global,low,5,high,0.04791386791333374,0.7352512163067935,0.6887364027556119
finance,password,2048,India,low,1,high,0.9485203275139151,0.7973368056499627,0.6304352704959946
retail,credit card,40930,EU,high,1,medium,0.7111600875277662,0.26941788932957167,0.8016641396086254
finance,SSN,78241,Global,medium,4,high,0.006796548586111784,0.8874416907524878,0.814941734763693
finance,password,50392,US,high,4,low,0.763856500200214,0.1373033751416044,0.6236864459375827
healthcare,SSN,15205,US,low,6,low,0.5140819207661853,0.33634572671558194,0.6056059180977234
finance,email,16989,EU,medium,1,medium,0.7793651703351198,0.5867481189673429,0.5582624207824575
healthcare,password,24043,India,medium,6,low,0.5224968088905885,0.10290508834200063,0.5761805014191546
healthcare,email,16415,EU,low,4,medium,0.6410248576353547,0.7301301877764249,0.5004830704960228
finance,password,151411,Global,medium,5,low,0.7863316553950405,0.38724604820347497,0.5642509902041853
retail,full name,1832233,EU,medium,7,low,0.4051080545878567,0.7844056656084001,0.48657963187533193
retail,credit card,7222,US,high,9,low,0.002708149820452088,0.49289628558460274,0.7758032645353019
retail,full name,1422,Global,low,3,medium,0.8499464959451885,0.18087452442533636,0.508600984771171
retail,email,18461,US,low,6,medium,0.3808903626246626,0.7347618113553444,0.5025347331440068
retail,credit card,3833997,India,low,5,high,0.49604272601658306,0.25214395583894356,0.812436413458877
finance,password,4414,US,low,9,medium,0.007766642153968717,0.4908103012680428,0.5490553395578605
finance,credit card,584337,US,low,1,low,0.492092010350098,0.07553326915690761,0.35207292556090336
tech,SSN,631214,EU,medium,7,low,0.9864874015717295,0.6178666544120367,0.6429654630291866
retail,credit card,7279,US,high,9,medium,0.27826766081876964,0.6658577662162772,0.9202135744110024
finance,SSN,68731,Global,low,8,medium,0.3954182702423781,0.37867420997278356,0.8204531250593291
tech,credit card,571942,Global,high,4,medium,0.6871899964686766,0.9544227803210739,0.9047697500571633
retail,SSN,10319,India,high,9,high,0.8147936675236587,0.8741689214820684,1.0
healthcare,email,14659,Global,medium,3,low,0.4173916240061003,0.7079409157399947,0.4858326381850029
tech,full name,6881,EU,low,5,high,0.30966887040129254,0.7136520744937427,0.6763280679338572
finance,password,2894,India,medium,7,high,0.9378257999850671,0.25240171494215125,0.907361533897976
healthcare,credit card,6011,Global,low,2,low,0.6771449666716692,0.656815231088449,0.5119093848843023
healthcare,full name,1904,EU,medium,9,low,0.11902130449314108,0.19820626523551965,0.5561972466048745
healthcare,password,23580,Global,high,0,medium,0.06892787813464862,0.14400322391982212,0.593448214364093
