breach_type,data_exposed,records_affected,compensation_amount,case_type,jurisdiction,time_since_breach,user_impact_level,documents_available,proof_strength,prior_claims,location_match,severity_score,deadline_remaining_days,legal_complexity_score,similarity_to_past_cases,eligibility_label,success_probability
retail,credit_card,4258950,1736,settement,EU,16,low,0,medium,0,0,71.0,77,5,0.53,2,0.6067
healthcare,SSN,5512934,959,lawsuit,India,87,low,4,low,1,0,77.0,66,4,0.94,2,0.3932
finance,password,3652387,9388,lawsuit,India,163,high,3,high,0,0,38.0,159,2,0.74,1,0.7895
tech,credit_card,4955582,9217,settement,US,357,medium,1,high,0,1,74.0,148,3,0.48,1,0.527
healthcare,email,2239057,2204,lawsuit,EU,133,high,2,medium,0,0,31.0,161,5,0.03,1,0.425
tech,password,7387133,7666,breach,India,19,low,1,low,1,1,56.0,125,7,0.65,0,0.0
finance,SSN,1884376,3426,settement,EU,245,high,3,high,0,1,59.0,130,5,0.99,1,0.9913
finance,credit_card,286711,9054,breach,India,267,low,2,low,1,1,51.0,136,4,0.99,0,0.0
retail,credit_card,7557855,7932,breach,EU,139,medium,3,medium,0,1,87.0,22,9,0.89,2,0.6931
retail,SSN,6757350,3120,breach,US,115,medium,2,high,0,1,83.0,8,5,0.41,2,0.6412
finance,credit_card,3361492,9270,lawsuit,EU,59,high,2,high,0,1,66.0,10,4,0.96,2,0.5048
tech,credit_card,572107,2843,breach,EU,104,low,0,low,0,0,52.0,35,6,0.88,0,0.0
healthcare,password,3284616,2359,breach,India,134,high,5,low,1,1,36.0,72,8,0.3,1,0.4393
retail,credit_card,6479450,6780,settement,EU,87,high,3,medium,0,1,82.0,50,5,0.18,2,0.5608
healthcare,password,7868791,338,breach,EU,16,high,0,low,1,0,59.0,172,6,0.91,1,0.3752
finance,credit_card,5310792,162,breach,US,39,high,3,low,0,1,76.0,118,5,0.45,2,0.4825
tech,password,2415802,9012,settement,US,240,high,0,high,1,1,32.0,122,3,0.35,1,0.3217
tech,SSN,3835242,8619,breach,EU,62,medium,5,medium,0,0,69.0,12,5,0.3,2,0.4512
tech,email,2254722,341,settement,India,22,high,3,medium,0,1,31.0,101,7,0.88,1,0.7546
finance,credit_card,3816144,3902,lawsuit,US,281,medium,2,high,0,1,69.0,123,2,0.4,1,0.5128
finance,SSN,377794,8564,lawsuit,India,127,medium,2,medium,0,0,51.0,163,10,0.15,0,0.0
retail,email,6300492,407,lawsuit,US,65,medium,3,medium,0,0,51.0,110,3,0.76,0,0.0
healthcare,SSN,7819114,6155,lawsuit,EU,177,high,2,low,0,1,89.0,132,10,0.97,2,0.5225
tech,password,3369045,3271,breach,US,6,low,0,medium,1,1,36.0,54,4,0.55,0,0.0
healthcare,SSN,1547236,4051,breach,EU,7,low,1,low,0,1,57.0,110,5,0.04,0,0.0
finance,password,6397567,728,breach,EU,120,low,4,medium,0,1,51.0,31,2,0.52,0,0.0
healthcare,email,3404096,3767,breach,India,305,medium,4,high,0,1,37.0,71,4,0.14,0,0.0
healthcare,password,3962676,5262,lawsuit,India,202,medium,4,medium,1,0,39.0,122,5,0.72,0,0.0
finance,email,7586159,3590,breach,EU,337,low,0,low,1,1,57.0,47,8,0.94,0,0.0
healthcare,email,2766331,7181,settement,US,82,medium,0,medium,0,1,33.0,25,8,0.85,0,0.0
healthcare,email,825143,1193,lawsuit,US,331,low,3,high,0,1,24.0,55,6,0.16,0,0.0
finance,email,4336518,7431,lawsuit,India,200,high,5,high,0,1,41.0,170,4,0.59,1,0.8435
healthcare,credit_card,7338694,4560,breach,US,61,low,1,high,0,1,86.0,165,10,0.05,2,0.4525
finance,SSN,3530801,9001,lawsuit,US,314,medium,0,low,0,0,67.0,79,4,0.1,1,0.3478
finance,credit_card,4901164,2042,breach,EU,146,high,2,high,0,1,74.0,8,1,0.12,2,0.4255
finance,SSN,2062774,3831,lawsuit,EU,363,low,1,medium,1,1,60.0,52,8,0.44,0,0.0
finance,SSN,7998488,6414,breach,EU,96,high,5,low,1,1,89.0,166,8,0.49,2,0.4201
healthcare,SSN,6429099,3954,breach,EU,213,high,3,low,0,1,82.0,106,1,0.35,2,0.5087
finance,password,9931855,5414,breach,India,81,high,2,high,0,1,69.0,54,4,0.92,1,0.5503
finance,email,972248,6011,settement,India,323,high,3,high,1,1,24.0,139,4,0.48,1,0.6172
finance,email,886421,1461,lawsuit,EU,352,low,4,high,0,0,24.0,18,2,0.38,0,0.0
finance,SSN,6502553,2825,breach,EU,234,medium,0,high,0,0,82.0,80,2,0.08,1,0.279
healthcare,SSN,9246234,3229,settement,India,165,low,0,medium,0,0,96.0,5,6,0.02,2,0.5175
tech,credit_card,1728408,2405,breach,India,259,medium,3,low,0,0,58.0,124,5,0.6,0,0.0
healthcare,SSN,4397720,5301,settement,India,24,high,2,low,0,1,71.0,101,3,0.69,2,0.5549
healthcare,SSN,4372047,1927,settement,India,133,low,4,high,1,1,71.0,104,9,0.74,2,0.7384
finance,password,6970129,684,lawsuit,EU,326,low,4,medium,0,1,54.0,123,4,0.58,0,0.0
finance,SSN,7189238,3742,breach,India,303,medium,2,medium,0,0,85.0,170,1,0.43,1,0.5661
healthcare,SSN,9124591,4007,settement,US,136,high,5,medium,0,1,95.0,90,10,0.26,2,0.6015
finance,password,6282646,4582,lawsuit,EU,129,high,0,high,0,0,51.0,171,2,0.22,1,0.3404
tech,email,2585182,1735,breach,US,342,low,5,medium,0,1,32.0,119,7,0.06,0,0.0
tech,password,176211,2568,settement,US,90,high,5,low,1,1,20.0,89,2,0.21,1,0.3156
finance,credit_card,1380904,1992,settement,US,45,medium,0,high,0,1,56.0,127,8,0.08,0,0.0
healthcare,password,4228995,1574,settement,US,203,medium,1,high,0,1,41.0,147,1,0.9,0,0.0
retail,SSN,8019006,3094,lawsuit,India,107,medium,2,low,0,1,90.0,20,7,0.46,2,0.472
tech,email,2649202,1196,lawsuit,US,298,low,4,medium,0,0,33.0,110,4,0.82,0,0.0
healthcare,SSN,2532528,9903,settement,US,159,medium,4,medium,0,1,62.0,161,2,0.39,2,0.6036
retail,credit_card,2771374,3236,settement,US,2,medium,0,medium,0,0,63.0,176,5,0.29,2,0.452
retail,password,4589727,5652,lawsuit,India,290,low,3,medium,0,0,42.0,127,6,0.17,0,0.0
tech,password,2780499,5551,settement,US,200,high,2,medium,0,1,33.0,117,2,0.55,1,0.6632
healthcare,SSN,3558689,631,settement,India,287,high,5,high,0,1,67.0,69,8,0.49,2,0.8006
healthcare,SSN,3912146,744,breach,India,196,high,4,high,0,1,69.0,17,1,0.32,2,0.7533
tech,password,9043832,1115,settement,India,331,low,1,medium,0,0,65.0,12,10,0.15,0,0.0
retail,credit_card,2882777,8407,lawsuit,US,341,medium,0,low,0,1,64.0,76,8,0.49,1,0.5165
healthcare,credit_card,4964401,1888,breach,EU,103,low,4,high,0,1,74.0,76,8,0.13,2,0.7062
healthcare,credit_card,4415084,265,lawsuit,EU,275,high,2,high,1,1,72.0,122,7,0.44,2,0.4123
retail,password,4461276,5658,settement,India,238,medium,2,high,0,1,42.0,47,4,0.57,0,0.0
finance,SSN,818052,7262,breach,US,108,high,1,medium,1,1,54.0,125,10,0.17,1,0.4417
healthcare,credit_card,6851807,791,breach,US,356,medium,3,low,0,0,84.0,129,4,0.29,1,0.3979
healthcare,password,8358998,9308,lawsuit,EU,157,high,0,medium,0,0,61.0,101,8,0.61,1,0.5392
finance,credit_card,5164515,8057,breach,India,280,low,0,medium,0,1,75.0,120,10,0.29,1,0.6837
retail,email,258354,1504,breach,EU,167,medium,0,medium,1,1,21.0,83,2,0.68,0,0.0
healthcare,email,1674879,8575,settement,EU,225,low,4,medium,1,1,28.0,111,9,0.3,0,0.0
finance,password,1354324,7074,breach,US,82,high,0,low,0,0,26.0,58,8,0.36,1,0.39
healthcare,email,9641686,3312,lawsuit,India,319,high,2,low,0,1,68.0,177,8,0.02,1,0.4242
tech,email,4465344,9547,settement,US,279,low,1,low,1,1,42.0,91,6,0.34,0,0.0
healthcare,email,4078716,3175,breach,India,255,medium,4,medium,0,1,40.0,158,8,0.47,0,0.0
finance,email,4755619,242,lawsuit,US,35,high,0,high,1,1,43.0,128,6,0.79,1,0.4545
healthcare,SSN,7641167,4040,settement,EU,141,medium,5,low,0,1,88.0,179,10,0.82,2,0.5865
healthcare,password,1781752,4496,lawsuit,EU,202,medium,0,low,1,1,28.0,174,3,0.28,0,0.0
retail,password,7335901,3352,lawsuit,US,285,medium,5,low,0,0,56.0,106,10,0.83,0,0.0
finance,password,8154113,6481,settement,EU,57,medium,1,high,0,0,60.0,61,5,0.94,0,0.0
tech,SSN,7157406,1074,breach,US,32,high,0,high,0,0,85.0,0,6,0.0,0,0.0
retail,SSN,7984439,2800,breach,US,140,high,1,low,1,1,89.0,37,8,0.13,2,0.3848
healthcare,SSN,2844236,465,settement,US,196,medium,4,high,0,1,64.0,108,4,0.31,1,0.76
retail,SSN,6525559,3174,lawsuit,US,291,high,1,low,0,1,82.0,92,3,0.51,2,0.5311
finance,email,5508683,8381,breach,India,152,high,1,low,0,1,47.0,75,2,0.15,1,0.4045
finance,email,7233212,9913,lawsuit,US,318,medium,3,medium,0,1,56.0,34,9,0.38,0,0.0
tech,password,6889260,5880,breach,EU,153,low,4,medium,0,1,54.0,74,5,0.7,0,0.0
finance,email,7998043,5883,breach,India,37,low,2,high,1,1,59.0,129,6,0.49,0,0.0
finance,password,4477321,8568,lawsuit,India,55,low,3,high,0,0,42.0,86,8,0.24,0,0.0
tech,SSN,9213863,5976,settement,India,40,medium,5,high,1,1,96.0,97,6,0.32,2,0.6802
retail,password,4667805,6851,breach,India,253,medium,3,low,0,1,43.0,145,4,0.51,0,0.0
healthcare,password,6194367,9241,settement,EU,207,medium,0,low,0,0,50.0,167,4,0.55,0,0.0
finance,email,7984823,8892,lawsuit,EU,189,high,1,low,0,0,59.0,108,8,0.83,1,0.4367
retail,credit_card,1460700,1981,breach,US,246,high,3,medium,0,1,57.0,44,5,0.51,1,0.5911
healthcare,credit_card,1298638,3049,breach,EU,305,low,1,low,0,1,56.0,122,4,0.62,0,0.0
healthcare,SSN,1827525,2111,lawsuit,EU,359,low,0,low,0,1,59.0,146,7,0.32,0,0.0
tech,SSN,7085609,7842,breach,India,101,high,0,medium,1,1,85.0,112,6,0.39,2,0.4995
healthcare,email,3684909,2144,settement,US,350,medium,1,medium,1,0,38.0,142,9,0.58,0,0.0
healthcare,email,3285321,770,settement,India,44,high,1,medium,0,1,36.0,136,4,0.94,1,0.7093
finance,email,6675192,2810,breach,India,245,low,5,low,0,0,53.0,126,10,0.22,0,0.0
tech,email,9089147,3403,breach,EU,225,low,4,medium,0,1,65.0,136,10,0.13,0,0.0
tech,password,2847230,2532,breach,US,217,low,0,medium,0,0,34.0,30,6,0.53,0,0.0
healthcare,email,2522279,6409,settement,EU,336,high,5,high,1,0,32.0,132,10,0.58,1,0.6379
finance,password,6408054,7638,lawsuit,India,167,low,5,high,0,0,52.0,143,6,0.37,0,0.0
finance,SSN,9177748,3772,lawsuit,EU,356,low,0,high,0,0,95.0,103,7,0.82,1,0.3889
retail,credit_card,8242353,436,breach,India,239,medium,0,medium,1,1,91.0,86,6,0.37,1,0.4085
healthcare,SSN,4152785,6339,lawsuit,EU,135,medium,5,high,0,0,70.0,70,7,0.34,2,0.777
tech,email,6017854,2742,lawsuit,India,258,medium,0,high,0,1,50.0,118,1,0.87,0,0.0
healthcare,SSN,4837917,4032,lawsuit,India,68,medium,1,low,1,0,74.0,156,7,0.26,2,0.3181
healthcare,password,7271518,3062,settement,US,137,high,3,high,0,0,56.0,165,9,0.46,1,0.758
retail,password,2382486,4159,lawsuit,US,114,high,3,medium,0,0,31.0,16,2,0.67,1,0.6346
finance,SSN,2393919,1730,lawsuit,EU,42,high,2,medium,0,0,61.0,120,1,0.7,2,0.5148
healthcare,email,8144179,6631,lawsuit,India,167,high,3,low,0,1,60.0,50,7,0.01,1,0.4111
healthcare,credit_card,6125152,1075,breach,EU,363,medium,4,high,0,1,80.0,18,7,0.65,1,0.8484
healthcare,SSN,2552331,5545,lawsuit,EU,116,high,0,low,0,0,62.0,86,4,0.19,2,0.3389
finance,credit_card,6516350,8225,settement,EU,246,high,3,high,1,1,82.0,67,3,0.12,2,0.5922
finance,password,9986461,4039,lawsuit,US,300,low,5,medium,0,0,69.0,45,1,0.86,0,0.0
retail,password,5239631,4691,breach,EU,29,medium,5,high,0,0,46.0,153,6,0.67,0,0.0
retail,email,5833801,3712,breach,India,160,low,5,high,0,1,49.0,161,7,0.22,0,0.0
retail,email,3288093,1914,breach,India,94,low,1,medium,0,1,36.0,22,5,0.13,0,0.0
retail,credit_card,9956951,9167,breach,EU,76,high,5,low,0,1,99.0,33,2,0.23,2,0.4584
healthcare,credit_card,5317741,4457,lawsuit,US,141,low,5,medium,1,1,76.0,24,7,0.82,2,0.6789
finance,credit_card,7205776,1646,settement,India,193,low,5,high,0,1,86.0,100,4,0.38,1,0.8284
tech,password,3917643,4829,breach,US,299,low,1,low,1,1,39.0,12,6,0.46,0,0.0
retail,credit_card,9803630,4534,lawsuit,EU,346,low,0,medium,1,1,99.0,148,6,0.49,1,0.4648
retail,SSN,2771742,3316,breach,EU,88,low,4,low,1,1,63.0,125,6,0.83,2,0.4489
healthcare,SSN,2660083,702,lawsuit,US,9,medium,2,medium,0,1,63.0,90,10,0.18,2,0.6076
tech,credit_card,8344528,1864,breach,India,303,medium,1,high,0,1,91.0,126,7,0.62,1,0.5359
healthcare,password,3595058,5410,lawsuit,US,50,high,0,low,0,1,37.0,61,9,0.89,1,0.5874
healthcare,credit_card,5306431,7123,breach,EU,203,low,4,medium,0,0,76.0,5,2,0.58,1,0.5979
healthcare,email,6495503,414,lawsuit,EU,328,medium,5,low,0,1,52.0,3,3,0.89,0,0.0
healthcare,credit_card,3679621,1549,breach,EU,144,high,5,low,1,0,68.0,27,5,0.32,2,0.2917
healthcare,password,8300350,9231,settement,US,270,high,0,high,1,1,61.0,142,1,0.78,1,0.4254
retail,email,2845180,6715,settement,EU,223,medium,5,low,0,0,34.0,6,2,0.5,0,0.0
finance,email,2109542,996,settement,EU,26,high,1,medium,1,1,30.0,112,8,0.42,1,0.4071
tech,password,5440381,4047,breach,EU,276,high,0,medium,0,0,47.0,19,9,0.84,1,0.5763
tech,SSN,4778402,4727,settement,EU,141,low,3,low,0,0,73.0,134,9,0.97,2,0.5879
retail,credit_card,9728094,6319,settement,India,223,low,3,high,0,1,98.0,64,5,0.28,1,0.7777
healthcare,email,9616754,8715,breach,US,349,medium,3,low,0,1,68.0,123,4,0.14,0,0.0
tech,email,2409630,1795,settement,EU,204,high,0,high,0,0,32.0,178,2,0.98,1,0.4541
finance,password,3034349,1151,settement,India,10,high,5,low,1,1,35.0,163,2,0.29,1,0.3324
tech,SSN,5574694,1817,lawsuit,India,325,medium,3,high,0,1,77.0,111,5,0.39,1,0.8347
healthcare,password,5125674,4061,settement,India,104,medium,1,high,1,0,45.0,165,8,0.1,0,0.0
retail,credit_card,5606126,3738,lawsuit,India,277,high,4,low,0,1,78.0,133,3,0.78,2,0.5082
tech,credit_card,1196885,5468,breach,US,210,low,0,low,0,0,55.0,32,7,0.64,0,0.0
tech,email,2712793,1406,breach,US,123,low,3,low,0,1,33.0,161,7,0.04,0,0.0
retail,SSN,9999081,3196,breach,India,230,medium,0,medium,1,0,99.0,169,7,0.21,1,0.4051
tech,email,9427944,6200,breach,India,154,medium,2,low,0,0,67.0,52,2,0.58,0,0.0
finance,email,1985117,7015,lawsuit,EU,206,low,5,high,0,1,29.0,126,6,0.05,0,0.0
healthcare,email,9341854,5157,breach,India,86,low,4,medium,1,0,66.0,151,1,0.06,0,0.0
healthcare,credit_card,9936869,7340,settement,EU,341,low,1,high,0,0,99.0,158,8,0.15,1,0.3045
retail,email,5989099,9378,lawsuit,EU,104,low,3,high,0,1,49.0,17,5,0.53,0,0.0
retail,credit_card,5920626,8511,breach,EU,56,high,4,high,0,0,79.0,117,1,0.74,2,0.781
tech,email,5586709,5769,settement,EU,81,low,4,low,0,1,47.0,116,9,0.26,0,0.0
finance,credit_card,3691583,9650,lawsuit,India,11,high,4,high,0,1,68.0,111,7,0.45,2,0.7859
healthcare,SSN,2519638,3590,lawsuit,US,289,low,1,low,0,0,62.0,44,1,0.59,1,0.4128
healthcare,SSN,1657321,9795,settement,India,318,high,0,low,1,1,58.0,67,8,0.98,1,0.553
tech,SSN,6985297,6873,settement,EU,144,medium,3,low,0,0,84.0,125,1,0.98,2,0.5352
tech,credit_card,6328090,6239,settement,US,138,high,2,medium,1,1,81.0,60,10,0.63,2,0.4719
tech,email,6113674,2014,settement,India,78,high,2,medium,0,1,50.0,53,8,0.23,1,0.5947
finance,SSN,7558260,6786,settement,US,278,low,1,low,0,1,87.0,158,4,0.97,1,0.615
finance,email,4202765,9204,breach,EU,132,medium,0,high,1,0,41.0,33,7,0.01,0,0.0
tech,email,1193931,9597,lawsuit,EU,99,high,4,medium,0,1,25.0,70,10,0.38,1,0.6434
tech,credit_card,9601177,7028,lawsuit,India,128,medium,0,medium,0,1,98.0,59,7,0.63,2,0.6284
tech,credit_card,3497605,5734,settement,US,320,low,3,high,0,0,67.0,16,3,0.91,1,0.7587
retail,SSN,9491536,5855,breach,India,335,low,5,medium,0,0,97.0,89,4,0.54,1,0.5076
finance,SSN,9912142,3264,lawsuit,US,142,high,5,medium,0,1,99.0,11,9,0.61,2,0.6825
healthcare,credit_card,8946326,9075,settement,US,311,high,2,medium,0,1,94.0,102,6,0.6,2,0.6838
retail,SSN,3638820,9571,lawsuit,US,113,high,0,high,0,0,68.0,6,2,0.02,2,0.3323
tech,email,677296,4786,lawsuit,India,338,medium,0,high,0,0,23.0,117,2,0.09,0,0.0
tech,SSN,5562112,719,breach,US,256,medium,1,medium,0,0,77.0,14,7,0.33,1,0.5677
healthcare,email,3766056,5017,settement,US,36,low,0,high,0,0,38.0,104,1,0.91,0,0.0
healthcare,credit_card,1407368,2358,settement,US,357,low,3,medium,1,0,57.0,171,7,0.29,0,0.0
healthcare,SSN,3899190,9777,breach,US,253,high,3,low,0,0,69.0,160,8,0.98,2,0.5069
retail,credit_card,6714070,2873,breach,EU,147,medium,2,low,0,1,83.0,165,1,0.18,2,0.4483
healthcare,SSN,8660522,9282,settement,India,43,high,1,low,0,1,93.0,36,7,0.64,2,0.4963
finance,credit_card,3892113,8248,settement,US,270,low,3,high,1,1,69.0,49,10,0.83,1,0.7441
retail,SSN,5057093,8169,settement,EU,266,low,0,low,0,1,75.0,132,10,0.25,1,0.3907
tech,email,7254817,7404,settement,US,183,low,1,medium,0,0,56.0,3,3,0.2,0,0.0
healthcare,email,293575,8478,breach,EU,272,medium,4,low,0,0,21.0,164,7,0.8,0,0.0
finance,SSN,2228503,349,lawsuit,US,130,low,5,high,0,1,61.0,108,7,0.35,2,0.7923
healthcare,email,5045842,6202,settement,EU,332,medium,2,high,0,0,45.0,151,4,0.64,0,0.0
finance,email,7171837,1651,lawsuit,EU,310,medium,4,medium,0,1,55.0,8,6,0.57,0,0.0
tech,credit_card,8678571,4694,settement,India,157,high,0,medium,0,1,93.0,50,8,0.82,2,0.8544
tech,credit_card,2149091,7326,lawsuit,India,124,low,1,medium,0,1,60.0,176,7,0.54,0,0.0
healthcare,email,8911606,9753,breach,EU,77,high,1,high,0,1,64.0,1,3,0.22,1,0.4481
retail,SSN,1257715,3848,breach,India,80,high,4,medium,0,1,56.0,18,10,0.65,1,0.6944
healthcare,email,8065220,239,settement,EU,100,medium,0,medium,1,0,60.0,103,5,0.38,0,0.0
tech,SSN,9144558,6336,breach,EU,263,high,0,high,0,1,95.0,134,6,0.98,2,0.5856
healthcare,email,3373455,7792,breach,India,353,low,3,medium,1,0,36.0,157,10,0.32,0,0.0
healthcare,password,7421105,2694,settement,US,141,high,5,high,0,1,57.0,14,8,0.9,1,0.9564
finance,password,7383003,957,breach,US,293,high,4,high,0,1,56.0,91,10,0.96,1,0.9319
healthcare,credit_card,6704560,4904,settement,India,153,low,3,medium,0,1,83.0,109,7,0.88,2,0.7319
finance,SSN,6445345,8790,breach,India,141,medium,1,high,1,1,82.0,178,4,0.07,2,0.2539
tech,SSN,6466377,2861,lawsuit,India,125,high,5,high,0,1,82.0,84,2,0.83,2,0.8698
retail,credit_card,5523567,1334,settement,EU,205,high,4,medium,0,1,77.0,90,1,0.56,2,0.6004
finance,email,808744,8363,settement,US,9,low,0,high,0,0,24.0,53,8,0.43,0,0.0
healthcare,SSN,7441449,3901,settement,EU,129,low,1,low,0,1,87.0,61,4,0.57,2,0.4891
retail,SSN,1275634,6211,breach,US,93,high,1,high,1,0,56.0,106,4,0.32,1,0.2728
tech,password,6898673,8027,breach,India,151,medium,0,high,0,0,54.0,104,3,0.69,0,0.0
finance,email,7984939,6897,settement,US,109,high,3,low,1,1,59.0,127,2,0.33,1,0.3223
retail,credit_card,6224754,5088,lawsuit,India,293,medium,4,high,1,0,81.0,85,10,0.04,1,0.4722
finance,email,6286939,6044,settement,India,180,low,3,high,0,1,51.0,166,8,0.52,0,0.0
tech,password,5048999,1090,settement,US,232,medium,3,medium,0,1,45.0,44,5,0.03,0,0.0
retail,SSN,2399083,7652,lawsuit,US,180,high,3,medium,0,0,61.0,164,2,0.63,2,0.501
tech,email,2457070,7336,settement,EU,63,high,3,high,0,1,32.0,90,8,0.66,1,0.7962
finance,email,3236192,4027,settement,India,362,low,5,high,0,1,36.0,160,6,0.62,0,0.0
retail,password,9910551,6126,lawsuit,EU,314,low,2,medium,0,1,69.0,114,1,0.56,0,0.0
finance,SSN,4991488,2950,breach,EU,326,medium,4,high,0,1,74.0,178,10,0.99,1,0.7978
tech,password,9575182,5070,lawsuit,India,56,high,4,high,0,1,67.0,176,3,0.35,1,0.7746
retail,email,7320764,4558,breach,India,10,low,3,low,0,1,56.0,27,9,0.89,0,0.0
healthcare,credit_card,2334679,5405,breach,EU,110,high,4,low,0,1,61.0,168,3,0.25,2,0.4598
tech,email,1889806,8666,settement,EU,86,high,2,low,0,0,29.0,166,4,0.55,1,0.4265
retail,email,6473652,5022,breach,US,292,medium,3,medium,0,0,52.0,55,5,0.43,0,0.0
retail,SSN,661902,3865,lawsuit,India,230,medium,0,low,0,1,53.0,146,8,0.98,0,0.0
finance,SSN,4076837,2635,breach,India,75,medium,4,medium,0,1,70.0,99,9,0.27,2,0.6019
tech,credit_card,8314157,2297,lawsuit,EU,246,low,1,low,0,1,91.0,161,9,0.98,1,0.695
retail,email,2520507,9060,lawsuit,India,344,low,5,medium,0,1,32.0,128,8,0.01,0,0.0
finance,credit_card,5335538,2013,settement,EU,291,high,4,medium,1,0,76.0,99,8,0.12,2,0.3093
retail,credit_card,5693796,1729,lawsuit,India,177,low,3,low,0,0,78.0,146,8,0.51,2,0.4123
finance,SSN,756111,1979,lawsuit,EU,319,medium,5,high,0,1,53.0,111,2,0.62,0,0.0
